title,description,author,isbn10,isbn13,publish_date,edition,best_seller,top_rated ,rating,review_count,price
SQL [6 BOOKS in 1],The Ultimate Beginner to Advanced Guide to Master SQL Quickly with Step-by-Step Practical Examples | Includes Interview Questions & Answers,Liam DeSantis ,,979-8391003144,11-04-2023,1,No,No,4.9,429,$21.84
Introduction to Statistics,An Intuitive Guide for Analyzing Data and Unlocking Discoveries,Jim Frost,1735431109,978-1735431109,13-08-2020,1,No,No,4.5,427,$18.22
Practice Makes Perfect Statistics (Practice Makes Perfect (McGraw-Hill)),,Sandra McCune,71638180,978-0071638180,12-07-2010,1,No,No,4.7,103,$18.00
Python for Excel,A Modern Environment for Automation and Data Analysis, Felix Zumstein,1492081000,978-1492081005,13-04-2021,1,No,No,4.5,225,$36.49
Engineers Survival Guide,"Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,,979-8985349900,28-11-2021,1,No,No,4.5,191,$29.99
Excel,The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials, Leonard J. Ledger,,979-8444443675,01-04-2022,1,Yes,No,4.3,997,$18.74
The Staff Engineer's Path,A Guide for Individual Contributors Navigating Growth and Change, Tanya Reilly,1098118731,978-1098118730,25-10-2022,1,No,No,4.7,195,$31.99
EXCEL 2023,"From Beginner to Expert | The Illustrative Guide to Master All The Essential Functions and Formulas in Just 7 Days With Step-by-Step Tutorials, Practical Examples, Tips & Tricks",Richard Wilson ,,979-8367981933,11-12-2022,1,Yes,No,4.6,1773,$14.97
Soft Skills,The Software Developer's Life Manual,John Sonmez,999081446,978-0999081440,11-11-2020,1,No,No,4.6,259,$24.95
Python for Data Analysis,"A Beginners Guide to Master the Fundamentals of Data Science and Data Analysis by Using Pandas, Numpy and Ipython (Programming Languages for Beginners)",Brady Ellison,,979-8463514271,26-08-2021,1,No,No,4.3,30,$9.97
"Princeton Review AP Statistics Prep, 2023",5 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),The Princeton Review ,593450892,593450892,978-0593450895,1,No,No,4.7,43,$19.99
"Princeton Review AP Physics 1 Premium Prep, 2023",5 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),The Princeton Review ,593450833,978-0593450833,02-08-2022,1,No,No,4.6,133,$20.45
SQL for Data Analytics,Perform efficient and fast data analysis with the power of SQL,Chad Knowles,,979-8354008353,21-09-2022,1,No,No,4.8,158,$15.97
The Complete Software Developer's Career Guide,"How to Learn Programming Languages Quickly, Ace Your Programming Interview, and Land Your Software Developer Dream Job", John Sonmez,999081411,978-0999081419,13-07-2017,1,No,No,4.6,1225,$25.99
Microsoft PowerPoint,"The Most Updated Crash Course from Beginner to Advanced Learn All the Functions, Macros and Formulas to Become a Pro in 7 Days or Less",James Holler,,979-8367756258,09-12-2022,1,No,No,4.9,620,$13.97
The Microsoft Office 365 Bible,"The Most Updated and Complete Guide to Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Teams, Access, and Publisher from Beginners to Advanced",James Holler,,979-8368031231,11-12-2022,1,Yes,No,4.7,1799,$24.23
Python Programming for Beginners,The Complete Crash Course to Mastering Python in 7 Days. Learn Coding Fast with Hands-On Projects & Tips to Get an Unfair Advantage and Become the #1 Programmer!, Mike Kernell,,979-8378959488,25-02-2023,1,No,No,0,0,$17.99
Storytelling with Data,A Data Visualization Guide for Business Professionals, Cole Nussbaumer Knaflic,1119002257,"978-1119002253
",02-11-2015,1,Yes,No,4.6,4290,$29.76
AWS Certified Security Study Guide,Specialty (SCS-C01) Exam, Marcello Zillo Neto,1119658810,978-1119658818,11-01-2021,1,No,No,4.6,146,$33.39
Storytelling with You,"Plan, Create, and Deliver a Stellar Presentation", Cole Nussbaumer Knaflic,1394160305,978-1394160303,27-09-2022,1,No,No,4.6,78,$24.36
,,,,,,1,No,No,,,
Python,The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),Maurice J. Thompson,1980953902,978-1980953906,28-04-2018,1,No,No,4.3,4600,$27.97
Mastering SAP,The Power of AI in Business How to Use Chat GPT with SAP, Mr. Christopher M. Carter,,979-8394387203,17-05-2023,1,No,No,0,0,$9.99
Python,2 Manuscripts in 1 book: -Python For Beginners -Python 3 Guide,Timothy C. Needham,1728913489,978-1728913483,17-10-2018,1,No,No,4.1,269,$24.95
SQL,The #1 Crash Course for Beginners to Master SQL Programming Quickly With 40 Hands-On Exercises (Computer Programming),James Howard,,979-8394081941,10-05-2023,q,No,No,5,133,$19.99
Python,For Beginners: A Crash Course Guide To Learn Python in 1 Week, Timothy C. Needham,1549776673,978-0679722014,21-09-2017,1,No,No,4.3,3642,$14.46
Better Data Visualizations,"A Guide for Scholars, Researchers, and Wonks", Jonathan Schwabish,231193114,978-0231193115,09-02-2021,1,No,No,4.5,292,$26.06
Tableau For Dummies (For Dummies (Computer/tech)),,Molly Monsey,111913479X,978-1119134794,02-11-2015,1,No,No,4.3,357,$18.05
AWS Certified Cloud Practitioner Study Guide,CLF-C01 Exam, Ben Piper,1119490707,978-1119490708,02-07-2019,1,No,No,4.5,982,$27.99
Penetration Testing Essentials,, Sean-Philip Oriyano,1119235308,978-1119235309,05-12-2016,1,No,No,4.4,30,$29.77
Designing & Leading Life-Changing Workshops,"Creating the Conditions for Transformation in Your Groups, Trainings, and Retreats",Ken Nelson,1732003300,978-1732003309,22-11-2020,1,No,No,4.5,316,$25.65
The Google Workspace Bible,"[14 in 1] The Ultimate All-in-One Guide from Beginner to Advanced | Including Gmail, Drive, Docs, Sheets, and Every Other App from the Suite",Robert G. Pascall ,1801719233,978-1801719230,07-03-2023,1,Yes,No,4.9,1277,$24.97
Advanced Penetration Testing,Hacking the World's Most Secure Networks,Wil Allsopp,,978-1119367680,20-03-2017,1,No,No,4.7,255,$25.67
Hacking,"The Art of Exploitation, 2nd Edition",Jon Erickson,1593271441,978-1593271442,04-02-2008,2,No,No,4.6,1344,$30.06
Hash Crack,Password Cracking Manual (v3), Joshua Picolet ,1793458618,978-1793458612,31-01-2019,1,No,No,4.7,417,$13.49
Hands on Hacking,Become an Expert at Next Gen Penetration Testing and Purple Teaming,Matthew Hickey,1119561450,978-1119561453,20-08-2020,1,No,No,4.7,453,$24.99
The Web Application Hacker's Handbook,Finding and Exploiting Security Flaws, Dafydd Stuttard,1118026470,978-1118026472,27-09-2011,1,No,No,4.7,947,$33.40
"Black Hat Python, 2nd Edition",Python Programming for Hackers and Pentesters,Justin Seitz,1718501129,978-1718501126,14-04-2021,2,No,No,4.7,494,$39.84
Operator Handbook,Red Team + OSINT + Blue Team Reference,Joshua Picolet,,979-8605493952,18-03-2020,1,No,No,4.7,1367,$15.08
Getting Started Becoming a Master Hacker,Hacking is the Most Important Skill Set of the 21st Century!,Occupytheweb,1711729299,978-1711729299,25-11-2019,1,No,No,4.7,3616,$31.49
PTFM,Purple Team Field Manual,Tim Bryant,,979-8682974061,20-10-2020,1,No,No,4.7,833,$13.68
"The Linux Command Line, 2nd Edition",A Complete Introduction, William Shotts,1593279523,978-1593279523,07-03-2019,2,Yes,No,4.7,1711,$21.99
RTFM,Red Team Field Manual v2, Ben Clark,1075091837,978-1075091834,11-07-2022,1,No,No,4.7,305,$13.22
Bug Bounty Bootcamp,The Guide to Finding and Reporting Web Vulnerabilities, Vickie Li ,1718501544,978-1718501546,07-12-2021,1,Yes,No,4.8,152,$44.99
Alice and Bob Learn Application Security,,Tanya Janca,1119687357,978-1119687351,23-10-2020,1,No,No,4.7,175,$27.99
Hacking APIs,Breaking Web Application Programming Interfaces, Corey J. Ball,1718502443,978-1718502444,12-07-2022,1,No,No,4.7,174,$43.32
Hackable,How to Do Application Security Right, Ted Harrington,1544517661,978-1544517667,978-1544517667,1,No,No,4.4,133,$19.99
Network Basics for Hackers,How Networks Work and How They Break, Master OccupytheWeb,,979-837329004,10-01-2023,1,No,No,4.6,57,$35.99
"How Linux Works, 3rd Edition",What Every Superuser Should Know,Brian Ward,1718500408,978-1718500402,19-04-2021,3,No,No,4.8,419,$38.99
Linux Basics for Hackers,"Getting Started with Networking, Scripting, and Security in Kali", OccupyTheWeb ,1593278551,978-1593278557,04-12-2018,1,Yes,No,$4.70 ,1825,$30.22
Blue Team Field Manual (BTFM) (RTFM),, Alan J White,154101636X,978-1541016361,13-01-2017,1,No,No,4.7,1786,$14.22
Linux for Beginners,A Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Tests to Verify Your Learning Level,Ethem Mining,1671228081,978-1671228085,03-12-2019,1,No,No,4.3,364,$16.99
VX Underground Black Mass,Volume 1, VX Underground,,979-8363495687,13-11-2022,1,No,No,4.7,94,$8.00
LFM,Linux Field Manual,Tim Bryant,1736526723,978-1736526729,15-06-2021,1,No,No,4.6,256,$14.99
Hands on Hacking,Become an Expert at Next Gen Penetration Testing and Purple Teaming, Matthew Hickey,1119561450,978-1119561453,20-08-2020,1,No,No,4.7,453,$24.99
Blue Fox,Arm Assembly Internals and Reverse Engineering,Maria Markstedter,1119745306,978-1119745303,11-04-2023,1,Yes,No,4.9,22,$32.20
Hacking Multifactor Authentication,, Roger A. Grimes ,1119650798,978-1119650799,09-10-2020,1,No,No,4.5,76,$28.49
Black Hat GraphQL,Attacking Next Generation APIs,Nick Aleks,1718502842,978-1718502840,23-05-2023,1,No,No,0,0,$55.49
Ransomware Protection Playbook,, Roger A. Grimes,1119849128,978-1119849124,27-09-2021,1,No,No,4.7,41,$28.00
API Testing and Development with Postman,"A practical guide to creating, testing, and managing APIs for automated software testing",Dave Westerveld,1800569203,978-1800569201,07-05-2021,1,No,No,4.4,50,$39.99
Learning eBPF,"Programming the Linux Kernel for Enhanced Observability, Networking, and Security",Liz Rice,1098135121,978-1098135126,11-04-2023,1,No,No,5,4,$52.99
Programming with 64-Bit ARM Assembly Language,Single Board Computer Development for Raspberry Pi and Mobile Devices,Stephen Smith,1484258800,978-1484258804,02-05-2020,1,No,No,4.5,81,$22.12
Linux Pocket Guide,Essential Commands, Daniel Barrett ,1491927577,978-1491927571,19-07-2016,3,No,No,4.7,1543,$13.79
Raspberry Pi Assembly Language Programming,ARM Processor Coding,Stephen Smith,1484252861,978-1484252864,24-10-2019,1,No,No,4.8,41,$22.21
Linux Observability with BPF,Advanced Programming for Performance Analysis and Networking,David Calavera,1492050202,978-1492050209,24-12-2019,1,No,No,4.4,61,$27.49
Raspberry Pi Operating System Assembly Language,, Bruce Smith,648098737,978-0648098737,18-03-2021,1,No,No,$4.40 ,36,$19.99
Python Pocket Reference,Python In Your Pocket (Pocket Reference (O'Reilly)), Mark Lutz,1449357016,978-1449357016,11-03-2014,5,No,No,4.5,909,$13.79
The Ultimate Kali Linux Book,"Perform advanced penetration testing using Nmap, Metasploit, Aircrack-ng, and Empire, 2nd Edition", Glen D. Singh,1801818932,978-1801818933,24-02-2022,1,No,No,4.8,135,$46.79
Learn to Program with Assembly,Foundational Learning for New Programmers,Jonathan Bartlett,1484274369,978-1484274361,06-11-2021,1,No,No,4.8,10,$51.99
Kali Linux Penetration Testing Bible,,Gus Khawaja,1119719089,978-1119719083,14-05-2021,1,No,No,4.7,201,$29.06
Low-Level Programming,"C, Assembly, and Program Execution on Intel® 64 Architecture",Igor Zhirkov,,978-1484224021,29-06-2017,1,No,No,4.4,89,$84.99
Systems Performance (Addison-Wesley Professional Computing Series),, Brendan Gregg,136820158,978-0136820154,16-12-2020,1,Yes,No,4.8,206,$47.99
Beginning x64 Assembly Programming,From Novice to AVX Professional, Jo Van Hoey,1484250753,978-1484250754,31-10-2019,1,No,No,4.7,134,$37.99
"Understanding Distributed Systems, Second Edition",What every developer should know about large distributed applications,Roberto Vitillo,1838430210,978-1838430214,23-02-2022,1,No,No,4.6,99,$33.25
Cyber Threat Intelligence Field Manual (CTI FM),"For Decision-Makers, Analysts, and Operators across All Industries",Chris Anthony,,979-8986973616,05-01-2023,1,No,No,3.9,12,$14.95
Hacking the Hacker,Learn From the Experts Who Take Down Hackers,Roger A. Grimes,,978-1119396215,21-04-2017,1,No,No,4.4,150,$25.00
OSINT Techniques,Resources for Uncovering Online Information,Michael Bazzell,,979-8366360401,01-01-2023,1,Yes,No,4.9,136,$42.39
Extreme Privacy,What It Takes to Disappear,Michael Bazzell,8431566361,978-8431566364,22-03-2022,1,No,No,4.8,242,$40.73
REST API Design Rulebook,,Mark Masse,1449310508,978-1449310509,29-11-2011,1,No,No,4.2,174,$17.49
Modern X86 Assembly Language Programming,"overs x86 64-bit, AVX, AVX2, and AVX-512",Daniel Kusswurm,1484240626,978-1484240625,07-12-2018,2,No,No,4.5,73,$24.27
Software Engineering at Google,Lessons Learned from Programming Over Time, Titus Winters,1492082791,978-1492082798,07-04-2020,1,No,No,4.6,635,$32.99
Assembly Language Step-by-Step,Programming with Linux,Jeff Duntemann,470497025,978-0470497029,05-10-2009,3,No,No,4.3,151,$64.44
Linux Bible,,Christopher Negus,1119578884,978-1119578888,10-06-2020,10,Yes,No,4.8,758,$28.43
Kali Linux Hacking,"A Complete Step by Step Guide to Learn the Fundamentals of Cyber Security, Hacking, and Penetration Testing. Includes Valuable Basic Networking Concepts.", Ethem Mining,1672429730,978-1672429733,10-12-2019,1,No,No,4.3,206,$15.75
Cybersecurity, A Comprehensive Beginner's Guide to learn the Realms of Cybersecurity from A-Z, Elijah Lewis,1659191688,978-1659191684,11-01-2020,1,No,No,3.6,77,$19.99
Social Engineering,The Science of Human Hacking,Christopher Hadnagy,111943338X,978-1119433385,31-07-2018,2,No,No,4.6,908,$20.49
The Road to React,Your journey to master plain yet pragmatic React.js,Robin Wieruch,,978-1720043997,14-09-2018,1,No,No,4.4,615,$29.99
Mastering Go,"Harness the power of Go to build professional utilities and concurrent servers and services, 3rd Edition", Mihalis Tsoukalos,1801079315,978-1801079310,31-08-2021,3,No,No,4.2,61,$49.39
React Programming,The Big Nerd Ranch Guide (Big Nerd Ranch Guides),Loren Klingman,137901763,978-0137901760,29-04-2023,1,No,No,0,0,$49.99
Expert Python Programming,"Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",Michal Jaworski,1801071101,Publisher,28-05-2021,4,No,No,4.5,65,$39.94
Test-Driven Development in Go,A practical guide to writing idiomatic and efficient Go tests through real-world examples,Adelina Simion,1803247878,978-1803247878,28-04-2023,1,No,No,5,1,$39.99
Node.js Design Patterns,"Design and implement production-grade Node.js applications using proven patterns and techniques, 3rd Edition", Mario Casciaro,1839214112,978-1839214110,29-07-2020,1,No,No,4.6,259,$46.74
Distributed Systems with Node.js,Building Enterprise-Ready Backend Services, Thomas Hunter II ,1492077291,978-1492077299,24-11-2020,1,No,No,4.5,79,$32.49
Learning Go,An Idiomatic Approach to Real-World Go Programming,Jon Bodner,1492077216,978-1492077213,06-04-2021,1,No,No,4.7,351,$43.49
Functional Programming in Go,"Apply functional techniques in Golang to improve the testability, readability, and security of your code",Dylan Meeus,1801811164,978-1801811163,10-03-2023,1,No,No,4.8,7,$38.30
"Go Programming Language, The (Addison-Wesley Professional Computing Series)",, Alan Donovan,,978-0134190440,26-10-2015,1,No,No,4.7,1450,$35.99
Cloud Native Go,Building Reliable Services in Unreliable Environments,Matthew Titmus ,1492076333,978-1492076339,25-05-2021,1,No,No,4.5,92,$38.49
"The Elements of Computing Systems, second edition", Building a Modern Computer from First Principles,Noam Nisan,262539802,978-0262539807,15-06-2021,2,No,No,4.7,163,$40.00
Crafting Interpreters,, Robert Nystrom,990582930,978-0990582939,28-07-2021,1,Yes,No,4.8,431,$44.28
Distributed Services with Go,"Your Guide to Reliable, Scalable, and Maintainable Systems", Travis Jeffery,1680507605,978-1680507607,20-04-2021,1,No,No,4.6,91,$36.99
Information Technology Essentials Volume 1,ntroduction to Information Systems, Eric Fric,1708175148,978-1708175146,13-11-2019,1,No,No,4.4,130,$24.69
Powerful Command-Line Applications in Go,Build Fast and Maintainable Tools, Ricardo Gerardi,168050696X,978-1680506969,11-01-2022,1,No,No,4.5,45,$39.49
Speed Reading,Learn to Read a 200+ Page Book in 1 Hour (Mental Performance),Kam Knight,1957170107,978-1957170107,26-09-2018,1,Yes,No,4.5,2514,$9.99
Building Modern CLI Applications in Go,"Develop next-level CLIs to improve user experience, increase platform usage, and maximize production",Marian Montagnino,1804611654,978-1804611654,10-03-2023,1,No,No,4.8,5,$44.99
Ultimate Go Notebook,,William Kennedy,1737384426,978-1737384427,13-08-2021,1,No,No,4.5,46,$25.99
Build Systems With Go,Everything a Gopher must know,Juan M. Tirado,,979-8502040150,10-05-2021,1,No,No,4.3,29,$18.99
100 Go Mistakes and How to Avoid Them,, Teiva Harsanyi ,1617299596,978-1617299599,04-10-2022,1,No,No,4.7,39,$55.99
Event-Driven Architecture in Golang,Building complex systems with asynchronicity and eventual consistency, Michael Stack,1803238011,978-1803238012,25-11-2022,1,No,No,4.4,14,$34.04
Blueprints Visual Scripting for Unreal Engine 5,"Unleash the true power of Blueprints to create impressive games and applications in UE5, 3rd Edition", Marcos Romero,180181158X,978-1801811583,02-05-2022,3,No,No,4.3,58,$54.99
"Unreal Engine 5 Character Creation, Animation, and Cinematics","Create custom 3D assets and bring them to life in Unreal Engine 5 using MetaHuman, Lumen, and Nanite",Henk Venter,1801812446,978-1801812443,30-06-2022,1,No,No,4.5,58,$54.99
Combining Scales for Realistic Dioramas,,Enrique Carrasco,1627009027,978-1627009027,30-09-2022,1,No,No,4.3,9,$18.60
Guide to Signals and Interlockings,, Dave Abeles,162700825X,978-1627008259,22-03-2021,1,No,No,4.6,117,$18.60
The Holloway Guide to Technical Recruiting and Hiring,Align your team to avoid expensive hiring mistakes,Osman (Ozzie) Osman,195212008X,978-1952120084,19-06-2020,1,No,No,4.4,54,$75.00
Full Stack Recruiter,The Ultimate Edition,Jan Tegze,8027076994,978-8027076994,23-06-2020,1,No,No,4.6,174,$33.57
Guide to Signals and Interlockings,,Dave Abeles,162700825X,978-1627008259,22-03-2021,1,No,No,4.6,117,$18.60
Wiring Your Model Railroad,, Larry Puckett,1627001751,978-1627001755,01-08-2015,1,No,No,4.5,569,$15.42
"Gears and Gear Cutting for Home Machinists (Fox Chapel Publishing) Practical, Hands-On Guide to Designing and Cutting Gears Inexpensively on a Lathe or Milling Machine; Simple, Non-Technical Language",,Ivan Law,1565239172,978-1565239173,09-04-2018,1,No,No,4.6,398,$12.99
The complete guide to Sketchup Pro,"AII you need to know for mastering Sketchup Pro, using the power of extension and Layout", Yael Kedem,,979-8502532792,11-05-2021,1,No,No,4.4,55,$29.97
Sculpting the Blender Way,"Explore Blender's 3D sculpting workflows and latest features, including Face Sets, Mesh Filters, and the Cloth brush",Xury Greer,1801073872,978-1801073875,28-01-2022,1,No,No,4.4,32,$36.99
Unreal Engine from Zero to Proficiency (Foundations),A Step-by-step guide to your first game with Unreal Engine,patrick Felicia,,979-8841841012,21-07-2022,1,No,No,4.6,7,$22.00
Learn Blender Simulations the Right Way,"Create attractive and realistic animations with Mantaflow, rigid and soft bodies, and Dynamic Paint",Stephen Pearson,1803234156,978-1803234151,18-11-2022,1,No,No,5,11,$31.49
Elevating Game Experiences with Unreal Engine 5,"Bring your game ideas to life using the new Unreal Engine 5 and C++, 2nd Edition",Goncalo Marques,1803239867,978-1803239866,23-09-2022,1,No,No,4.2,19,$44.54
Learn C++ Quickly,"A Complete Beginner’s Guide to Learning C++, Even If You’re New to Programming (Crash Course With Hands-On Project)",Code Quickly,1951791622,978-1951791629,29-07-2020,1,No,No,4.4,394,$17.99
Indie Games,From Dream to Delivery,Don L. Daglow,996781552,978-0996781558,18-02-2018,1,No,No,4.6,114,$34.99
.NET MAUI Cross-Platform Application Development,Leverage a first-class cross-platform UI framework to build native apps on multiple platforms, Roger Ye,180056922X,978-1800569225,27-01-2023,1,No,No,4.1,12,$30.71
Information Technology Essentials Volume 2,The Beginner's Guide to C#,Eric Frick,1733009485,978-1733009485,17-09-2021,1,No,No,4.7,12,$16.99
Fundamentals of Information Security,A Complete Go-to Guide for Beginners to Understand All the Aspects of Information Security,Sanil Nadkarni,9389328403,978-9389328400,11-11-2020,1,No,No,4,15,$19.95
A Programmer's Guide to Computer Science,A virtual degree for the self-taught developer,Dr. William M Springer II ,195120400X,978-1951204006,28-07-2019,1,Yes,No,4.4,300,$26.99
Network Security,Private Communication in a Public World (Prentice Hall Series in Computer Networking and Distributed Systems), Charlie Kaufman,136643604,978-0136643609,26-09-2022,3,No,No,4.3,4,$69.99
MS-700 Managing Microsoft Teams Exam Guide,"Configure and manage Microsoft Teams workloads and achieve Microsoft 365 certification with ease, 2nd Edition ", Peter Rising,1803233389,978-1803233383,26-05-2022,2,No,No,5,5,$44.99
RMF Security Control Assessor,NIST 800-53A Security Control Assessment Guide (NIST 800 Cybersecurity), Bruce Brown,,979-8389537262,02-04-2023,1,No,No,4.9,41,$40.00
Microsoft 365 Certified Fundamentals MS-900 Exam Guide,"Understand the Microsoft 365 platform from concept to execution and pass the MS-900 exam with confidence, 2nd Edition", Aaron Guilmette,1803231165,978-1803231167,30-12-2021,2,No,No,4.5,39,$41.99
Mastering Windows Server 2019,"The complete guide for system administrators to install, manage, and deploy new capabilities with Windows Server 2019, 3rd Edition", Jordan Krause,1801078319,978-1801078313,29-07-2021,3,No,No,4.6,58,$39.99
Mastering Windows Group Policy,Control and secure your Active Directory environment with Group Policy, Jordan Krause,1789347394,978-1789347395,30-11-2018,1,No,No,4.7,79,$41.99
"Learn PowerShell in a Month of Lunches, Fourth Edition","Covers Windows, Linux, and macOS",Travis Plunk,1617296961,978-1617296963,26-04-2022,4,Yes,No,4.6,1036,$35.99
Linux for Beginners,Why You're Not Using Linux yet and How to Overcome Command Line Fear, Nathan Clark,,979-8581926437,15-12-2020,1,No,No,4.4,238,$19.99
Windows PowerShell and Scripting for Beginners,Complete Beginners Guide to learn Windows PowerShell and its Scripting, David Coding,,979-8626496956,16-03-2020,1,No,No,3.5,70,$17.99
"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008) (CompTIA Network + All-In-One Exam Guide)",, Scott Jernigan,1264269056,978-1264269051,28-03-2022,8,Yes,No,4.8,429,$45.99
A Programmer's Guide to Computer Science Vol. 2,A virtual degree for the self-taught developer, William M. Springer II,1951204042,978-1951204044,11-08-2020,1,No,No,4.3,63,$19.99
Workflow Automation with Microsoft Power Automate,"Use business process automation to achieve digital transformation with minimal code, 2nd Edition",Aaron Guilmette ,,978-1803237671,19-08-2022,2,No,No,4.4,50,$34.09
Linux for Beginners, Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Tests to Verify Your Learning Level,Ethem Mining,1671228081,978-1671228085,03-12-2019,1,No,No,4.3,364,$16.90
CompTIA Security+ Certification Kit,Exam SY0-601, Mike Chapple,1119794005,978-1119794004,09-02-2021,1,No,No,4.7,671,$52.99
CompTIA Security+ Get Certified Get Ahead,SY0-601 Study Guide, Darril Gibson,,979-8748708180,01-06-2021,1,Yes,No,4.7,1457,$33.45
Automate Your Busywork,"Do Less, Achieve More, and Save Your Brain for the Big Stuff",Aytekin Tank,1119901731,978-1119901730,16-05-2023,1,No,No,4.1,13,$19.89
Mastering Windows Security and Hardening,"Secure and protect your Windows environment from cyber threats using zero-trust security principles, 2nd Edition", Mark Dunkerley,180323654X,978-1803236544,19-08-2022,2,No,No,4.8,14,$49.99
Mastering Linux Security and Hardening,"A practical guide to protecting your Linux system from cyber attacks, 3rd Edition", Donald A. Tevault,1837630518,978-1837630516,28-02-2023,3,No,No,5,16,$44.99
An Ethical Guide to Cyber Anonymity,"Concepts, tools, and techniques to protect your anonymity from criminals, unethical hackers, and governments", Kushantha Gunawardana,1801810214,978-1801810210,16-12-2022,1,No,No,5,4,$34.99
Active Directory Administration Cookbook,"Proven solutions to everyday identity and authentication challenges for both on-premises and the cloud, 2nd Edition", Sander Berkouwer,1803242507,978-1803242507,15-07-2022,2,No,No,5,6,$49.99
PowerShell for Sysadmins,Workflow Automation Made Easy,Adam Bertram,1593279183,978-1593279189,04-02-2020,1,No,No,4.7,759,$28.49
Gray Hat Hacking,"The Ethical Hacker's Handbook, Sixth Edition",Allen Harper,1264268947,978-1264268948,09-03-2022,6,No,No,4.8,85,$47.95
Mastering PowerShell Scripting,"Automate and manage your environment using PowerShell 7.1, 4th Edition", Chris Dent ,1800206542,978-1800206540,29-06-2021,4,No,No,4.6,95,$44.19
Mastering Microsoft Endpoint Manager,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs", Christiaan Brinkhoff,1801078998,978-1801078993,07-10-2021,1,No,No,4.7,108,$40.63
Active Directory Administration Cookbook,"Actionable, proven solutions to identity management and authentication on servers and in the cloud",Sander Berkouwer,1789806984,978-1789806984,03-05-2019,1,No,No,4.7,48,$69.99
Mastering Active Directory,"Design, deploy, and protect Active Directory Domain Services for Windows Server 2022, 3rd Edition", Dishan Francis,1801070393,978-1801070393,30-11-2021,3,No,No,4.8,68,$51.99
Windows Server 2019 Administration Fundamentals,"A beginner's guide to managing and administering Windows Server environments, 2nd Edition",Bekim Dauti,1838550917,978-1838550912,11-10-2019,2,No,No,4.4,74,$39.99
Windows 11 For Dummies,,Andy Rathbone,1119846471,978-1119846475,05-11-2021,1,Yes,No,4.4,952,$16.69
Configuring Windows Server Hybrid Advanced Services Exam Ref AZ-801,"Configure advanced Windows Server services for on-premises, hybrid, and cloud environments",Chris Gill ,1804615099,978-1804615096,28-04-2023,1,No,No,5,2,$44.99
Windows 11 for Seniors in easy steps,, Michael Price ,1840789336,978-1840789331,20-12-2022,4,No,No,3.8,17,$15.99
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide,The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,1803240636,978-1803240633,25-11-2022,1,No,No,4.3,16,$44.99
Microsoft Power Platform Enterprise Architecture,"Design tailor-made solutions for architects and decision makers to meet complex business requirements, 2nd Edition",Robert Rybaric ,1804612634,978-1804612637,31-01-2023,2,No,No,4.6,21,$49.99
Microsoft Cybersecurity Architect Exam Ref SC-100,Get certified with ease while learning how to develop highly effective cybersecurity strategies,Dwayne Natwick,1803242396,978-1803242392,06-01-2023,1,No,No,5,5,$41.99
SharePoint Architect's Planning Guide,Create reusable architecture and governance to support collaboration with SharePoint and Microsoft 365, Patrick Tucker,1803249366,978-1803249360,30-08-2022,1,No,No,4.8,12,$34.99
Hands-On Microsoft Teams," practical guide to enhancing enterprise collaboration with Microsoft Teams and Microsoft 365, 2nd Edition ", Joao Ferreira,1801075271,978-1801075275,15-12-2021,2,No,No,4.4,33,$41.99
Microsoft 365 Fundamentals Guide,Over 100 tips and tricks to help you get up and running with M365 quickly, Gustavo Moraes,1801070199,978-1801070195,27-05-2022,1,No,No,4.5,4,$24.99
Adversarial Tradecraft in Cybersecurity,Offense versus defense in real-time computer conflict,Dan Borges,1801076200,978-1801076203,14-06-2021,1,No,No,4.7,113,$36.77
CompTIA Security+,"Y0-601 Certification Guide: Complete coverage of the new CompTIA Security+ (SY0-601) exam to help you pass on the first attempt, 2nd Edition", Ian Neil ,1800564244,978-1800564244,24-12-2020,2,No,No,4.6,1615,$35.99
Practical Threat Intelligence and Data-Driven Threat Hunting,A hands-on guide to threat hunting with the ATT&CK™ Framework and open source tools, Valentina Costa-Gazcón,1838556370,978-1838556372,12-02-2021,1,No,No,4.7,142,$41.99
Terraform for Google Cloud Essential Guide,Learn how to provision infrastructure in Google Cloud securely and efficiently,Bernd Nordhausen,1804619620,978-1804619629,13-01-2023,1,No,No,4.8,5,$39.99
